,region,MedalsCount,ParticipantsCount,GamesCount,PartPerGamesScaled,SuccessRate
0,USA,5637,12851,50,1.0,0.9001792622373285
1,Russia,3947,8100,36,0.874539612883003,1.0
2,Germany,3756,10653,46,0.900348548396439,0.7235550001187945
3,UK,2068,8489,51,0.6451335333914148,0.4999331016997719
4,France,1777,8280,51,0.6290766443714074,0.4404280631409656
5,Italy,1637,7226,51,0.5481007542896479,0.46490970765353357
6,Sweden,1536,5414,50,0.41720868270511724,0.5822250096377669
7,Canada,1352,6464,49,0.5098282554146962,0.42923313106583016
8,Australia,1349,5534,48,0.44468171250946903,0.500254135272117
9,Hungary,1135,4109,49,0.32151533131080196,0.5668623498394367
10,Netherlands,1040,4014,47,0.32757720914955313,0.5317088189815503
11,Norway,1033,3170,49,0.24643005074453578,0.6687425421535662
12,China,993,4038,29,0.5385211946961244,0.5046622578285612
13,Japan,913,5455,42,0.5018452800758263,0.34347403741183885
14,Finland,900,3410,48,0.27130188334247585,0.5416341302314316
15,Switzerland,691,3854,51,0.2890393678041705,0.3679461216068801
16,Romania,653,2617,42,0.23708770397901346,0.5120676630621304
17,Czech Republic,644,3989,48,0.3185650288639867,0.33131395096332494
18,South Korea,638,3174,34,0.358721656517791,0.4125073097559679
19,Denmark,597,2542,41,0.23587493143170601,0.48196630531569257
20,Poland,565,4239,44,0.37042907723105206,0.2735287140600214
21,Serbia,539,2246,42,0.20247704128277755,0.4924894207104328
22,Spain,489,3876,42,0.3545400606759435,0.25890651754948113
23,Brazil,475,3028,30,0.388423059843795,0.32192568708438324
24,Belgium,468,2733,47,0.22078573846176935,0.3514180899108578
25,Austria,450,3341,50,0.2547605986991615,0.2764101143503714
26,Cuba,409,1874,21,0.34259891559476235,0.4478902555985268
27,Bulgaria,342,2068,39,0.20071170372870872,0.33938564117692893
28,Argentina,274,2463,42,0.22272101380321743,0.22829901801797076
29,Greece,255,2327,47,0.18693926141318215,0.22488562189884032
30,New Zealand,228,1846,39,0.17840817072852183,0.2534667771592232
31,Ukraine,199,1677,12,0.5405140662957449,0.2435218342501472
32,India,197,1154,34,0.1259351793377801,0.35033079112802695
33,Jamaica,157,576,24,0.08698377870072879,0.5593647073726881
34,Croatia,149,662,14,0.17822159033662838,0.4618980953831623
35,Belarus,139,1161,12,0.3720319724159549,0.24569735035735119
36,South Africa,131,1201,25,0.1811770237442207,0.2238443725744128
37,Pakistan,121,493,19,0.09461393472710851,0.5036818987486837
38,Mexico,110,2000,31,0.2457335985904634,0.11287053458322777
39,Kenya,106,698,17,0.15382346026726657,0.3116508639182637
40,Nigeria,99,722,16,0.16975550505446285,0.2813946845565235
41,Turkey,95,1071,39,0.10054673795759919,0.18203379654369983
42,Kazakhstan,77,965,12,0.3080348979964998,0.1637499983590869
43,Iran,68,656,27,0.0881447233613992,0.21272717160918758
44,North Korea,67,485,18,0.09852066626614077,0.2834986248201035
45,Uruguay,63,452,22,0.07344821936154906,0.2860355462085016
46,Lithuania,61,503,17,0.10887953645528428,0.24887412288367589
47,Ethiopia,53,313,15,0.07470678891413945,0.34749569171716943
48,Estonia,50,556,21,0.09668595907918846,0.1845495987299342
49,Taiwan,49,740,25,0.10892563278739913,0.135888358589144
50,Slovenia,48,678,14,0.1826995197420713,0.14528789648685794
51,Slovakia,47,714,12,0.22607946085729963,0.13508823848769302
52,Azerbaijan,44,257,11,0.0844903861908799,0.35134796757424985
53,Portugal,41,1097,31,0.13160056725254116,0.07669995720414914
54,Indonesia,41,352,15,0.0848940783115221,0.23903367344588525
55,Bahamas,40,282,16,0.06200532873599248,0.2910909982804069
56,Trinidad,37,266,21,0.042577645430086464,0.2854552139152035
57,Latvia,35,689,21,0.12150115120101801,0.10424775591537068
58,Ireland,35,1041,27,0.1440151851561616,0.06899779426098981
59,Uzbekistan,34,416,12,0.12877778648486274,0.16772719299955174
60,Georgia,32,237,12,0.07033147872423792,0.2770891527935012
61,Chile,32,665,38,0.061515555207272164,0.09875207400309743
62,Thailand,30,601,19,0.11688574150681148,0.10243884548470225
63,Colombia,28,821,21,0.1461297629309541,0.0699894799763122
64,Egypt,27,1259,22,0.21717448760783925,0.04401046189251426
65,Mongolia,26,420,26,0.05624107105182256,0.12704042853523473
66,Morocco,23,570,20,0.10461562573466031,0.08280772872134733
67,Ghana,23,303,15,0.07209466342763107,0.15577691541639596
68,Zimbabwe,22,242,14,0.06067594344375161,0.1865628670797153
69,Cameroon,22,268,15,0.06295222422485178,0.16846348445257875
70,Paraguay,17,120,13,0.029115152538081775,0.2907271345325564
71,Iceland,17,412,38,0.035428670414379346,0.08467780617453098
72,Algeria,17,491,16,0.1131866624872659,0.07105347483484066
73,Armenia,16,186,12,0.053679178747747046,0.1765326054087629
74,Malaysia,16,453,15,0.11127654572525666,0.07248358632677682
75,Venezuela,15,703,23,0.11270753620916994,0.043787870651711275
76,Peru,15,441,22,0.07148912524666778,0.06980243326111799
77,None,14,314,18,0.06129787808339646,0.09149898576521069
78,Montenegro,14,90,5,0.06347464932215345,0.31922979478084623
79,Fiji,13,170,17,0.03212914348405298,0.15693229407293702
80,Tunisia,13,507,14,0.13484164922140005,0.05262029584299663
81,Philippines,10,502,25,0.07162448084005957,0.04088030951945953
82,Israel,9,458,22,0.07451681615148428,0.04032690794954545
83,Puerto Rico,9,717,23,0.11509252034902541,0.025759726416864456
84,Liechtenstein,9,198,35,0.015113011743369868,0.09328143353985766
85,Moldova,8,205,12,0.05988297677820443,0.08008552342934121
86,Luxembourg,8,475,33,0.04934542509967634,0.0345632259010841
87,Dominican Republic,7,252,14,0.06347464932215345,0.05700532049657968
88,Haiti,7,93,16,0.015721730271922266,0.15446602973266751
89,Uganda,7,222,15,0.050936446986913256,0.06470874218530666
90,Saudi Arabia,6,184,11,0.05848786430245564,0.06691928927859353
